backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
numpy,0.1,numpy,64,0,True,14,406328,0.8739261273294687,82.1416015625,464945.47684671177
numpy,0.1,numpy,64,1,True,4,102171,0.24437929096166044,99.162109375,418083.7074939756
numpy,0.1,numpy,64,2,True,9,255939,0.5737983339931816,93.7236328125,446043.47004437505
numpy,0.1,numpy,64,3,True,2,56080,0.14433258294593543,95.12060546875,388547.0546938568
numpy,0.1,numpy,64,4,True,4,110981,0.24983354087453336,97.072265625,444219.77774287225
numpy,0.1,numpy,256,0,True,10,1157294,1.042183916666545,86.59521484375,1110450.8345337335
numpy,0.1,numpy,256,1,True,4,433528,0.40332916600164026,86.43408203125,1074873.9157590128
numpy,0.1,numpy,256,2,True,10,1017533,1.0396042079664767,90.35595703125,978769.6050118447
numpy,0.1,numpy,256,3,True,4,420989,0.4032158338231966,88.98876953125,1044078.5422742021
numpy,0.1,numpy,256,4,True,6,645597,0.6192389589268714,85.99169921875,1042565.2176646097
numpy,0.1,numpy,1024,0,True,9,4168604,2.4174356668954715,97.1845703125,1724390.8729755033
numpy,0.1,numpy,1024,1,True,4,1680199,1.0232649171957746,94.85009765625,1641998.051300862
numpy,0.1,numpy,1024,2,True,6,2573437,1.583846460096538,87.02734375,1624802.0656264527
numpy,0.1,numpy,1024,3,True,3,1349856,0.7460445408942178,98.45654296875,1809350.4154350446
numpy,0.1,numpy,1024,4,True,3,1397799,0.7418940421193838,85.46484375,1884095.195058959
numpy,0.1,numpy,4096,0,True,8,14861937,8.179895667009987,98.49365234375,1816885.887669581
numpy,0.1,numpy,4096,1,True,4,6868881,4.030212416080758,91.171875,1704347.1387743251
numpy,0.1,numpy,4096,2,True,6,10671015,6.8610533338505775,88.419921875,1555302.7327964504
numpy,0.1,numpy,4096,3,True,2,3654015,1.7286804160103202,98.79638671875,2113759.7014219807
numpy,0.1,numpy,4096,4,True,4,7181563,3.8674483340000734,83.6533203125,1856925.3884698085
numpy,0.1,numpy,16384,0,True,9,65508038,41.68234099971596,88.95263671875,1571601.7005965763
numpy,0.1,numpy,16384,1,True,4,27416831,17.5248600828927,88.34765625,1564453.6316020906
numpy,0.1,numpy,16384,2,True,5,36052694,21.591378417913802,84.8125,1669772.6889955308
