backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,255276310,17.93153816193808,0.7761265635490417,14236163.551315175
metal,0.1,metal,1024,1,True,493,239405752,17.650431451154873,101.37104797363281,13563733.706029924
metal,0.1,metal,1024,2,True,468,230102243,16.772869039326906,100.33949279785156,13718716.962523544
metal,0.1,metal,4096,0,False,500,1021587716,18.246269080322236,0.7761265635490417,55988855.11897528
metal,0.1,metal,4096,1,True,498,973430424,18.16613148804754,101.20864868164062,53584904.66946534
metal,0.1,metal,4096,2,False,500,1019865862,18.243051626952365,0.7490478754043579,55904345.54782741
