backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,216329966,18.402410293347202,43.726566314697266,11755523.464130517
metal,0.1,metal,1024,1,True,128,14981387,4.316059499629773,101.07986450195312,3471079.8127980134
metal,0.1,metal,1024,2,False,500,216742283,17.746803926769644,43.515106201171875,12213031.92926257
metal,0.1,metal,4096,0,False,500,871203660,18.173797079361975,43.82771301269531,47937349.371493325
metal,0.1,metal,4096,1,False,500,34152565,11.43870428414084,11.175912857055664,2985702.23966282
metal,0.1,metal,4096,2,False,500,863829404,18.178941526450217,43.52709197998047,47518135.351452395
