backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
mlx,0.1,mlx,16384,3,True,11,9955569,1.7415706246392801,489.02392578125,5716431.39770001
mlx,0.1,mlx,16384,4,True,22,28840302,3.480056751985103,498.68359375,8287307.953684618
mlx,0.1,mlx,65536,0,True,24,132302306,15.709180996171199,500.0,8421973.496406086
mlx,0.1,mlx,65536,1,True,24,142414309,15.657540915883146,500.0,9095573.165996563
mlx,0.1,mlx,65536,2,True,10,46095897,6.5440250030951574,499.9619140625,7043967.126989554
mlx,0.1,mlx,65536,3,True,17,124877199,11.081290456000715,500.0,11269192.834159201
mlx,0.1,mlx,65536,4,True,22,109428251,14.421304290997796,494.1279296875,7587957.981602839
metal,0.1,metal,64,0,True,17,118300,0.017462376970797777,490.9140625,6774564.55085309
metal,0.1,metal,64,1,True,16,85401,0.0138731679180637,500.0,6155839.856072293
metal,0.1,metal,64,2,True,9,42271,0.007913997862488031,500.0,5341295.352171184
metal,0.1,metal,64,3,True,16,98415,0.013427292928099632,500.0,7329474.41654784
metal,0.1,metal,64,4,True,28,156418,0.022687959601171315,486.5556640625,6894317.635858474
metal,0.1,metal,256,0,True,20,450133,0.0275975443655625,499.853515625,16310617.859235944
metal,0.1,metal,256,1,True,23,571736,0.03285291907377541,500.0,17402898.0108615
metal,0.1,metal,256,2,True,16,375274,0.0225650001084432,499.85595703125,16630799.831442624
metal,0.1,metal,256,3,True,14,347121,0.01992787409108132,499.65869140625,17418867.582837313
metal,0.1,metal,256,4,True,24,543482,0.02826321090105921,500.0,19229308.44278674
metal,0.1,metal,1024,0,True,23,2023142,0.03406329522840679,488.6279296875,59393607.88303354
metal,0.1,metal,1024,1,True,25,2425418,0.03804816713090986,500.0,63745987.85941572
metal,0.1,metal,1024,2,True,11,949665,0.01703079091385007,499.91064453125,55761649.87309528
metal,0.1,metal,1024,3,True,16,1932416,0.024656208232045174,500.0,78374419.20564567
metal,0.1,metal,1024,4,True,21,1538977,0.026458251057192683,498.50341796875,58166240.71913584
metal,0.1,metal,4096,0,True,25,8429834,0.04610187839716673,499.0576171875,182852289.17089134
metal,0.1,metal,4096,1,True,25,9304657,0.04685608402360231,500.0,198579484.26319763
metal,0.1,metal,4096,2,True,13,5659465,0.02548358601052314,500.0,222082755.45141065
metal,0.1,metal,4096,3,True,19,8676707,0.03501962625887245,500.0,247766978.88949344
metal,0.1,metal,4096,4,True,22,6916299,0.03762141696643084,499.71044921875,183839407.3825378
metal,0.1,metal,16384,0,True,24,30032752,0.2068544146604836,485.31201171875,145187870.6543134
metal,0.1,metal,16384,1,True,24,34748195,0.22877116489689797,500.0,151890624.0463488
metal,0.1,metal,16384,2,True,13,22740659,0.14677383506204933,500.0,154936736.44479126
metal,0.1,metal,16384,3,True,16,27972027,0.16236412420403212,481.3955078125,172279603.86648855
metal,0.1,metal,16384,4,True,22,27657683,0.17559558397624642,498.66552734375,157507850.56041828
metal,0.1,metal,65536,0,True,24,126991726,0.7483109590830281,499.5546875,169704485.0921524
metal,0.1,metal,65536,1,True,24,137622403,0.8044741244520992,500.0,171071261.10952306
metal,0.1,metal,65536,2,True,11,59308202,0.4021012109005824,499.5185546875,147495706.0367164
metal,0.1,metal,65536,3,True,16,114304582,0.6048735808581114,499.2451171875,188972680.60185468
metal,0.1,metal,65536,4,True,22,116753461,0.6291741650784388,499.99853515625,185566203.25541243
