k,config,n,steps_per_sec,iters,warmup,repeats
4,"mlx compiled (articulated body), eval every 32",4096,2162021,64,8,3
4,"mlx compiled (articulated body), eval every 32",8192,4311580,64,8,3
4,"mlx compiled (articulated body), eval every 32",16384,7993388,64,8,3
4,"mlx compiled (articulated body), eval every 32",32768,16509243,64,8,3
4,"mlx compiled (articulated body), eval every 32",65536,19222042,64,8,3
4,"articulated-body kernel, eval every step",1,3777,64,8,3
4,"articulated-body kernel, eval every step",2,8725,64,8,3
4,"articulated-body kernel, eval every step",4,17919,64,8,3
4,"articulated-body kernel, eval every step",8,29298,64,8,3
4,"articulated-body kernel, eval every step",16,68634,64,8,3
4,"articulated-body kernel, eval every step",32,144188,64,8,3
4,"articulated-body kernel, eval every step",64,272445,64,8,3
4,"articulated-body kernel, eval every step",128,555957,64,8,3
4,"articulated-body kernel, eval every step",256,1101303,64,8,3
4,"articulated-body kernel, eval every step",512,2307450,64,8,3
4,"articulated-body kernel, eval every step",1024,4310834,64,8,3
4,"articulated-body kernel, eval every step",2048,8910123,64,8,3
4,"articulated-body kernel, eval every step",4096,17647250,64,8,3
4,"articulated-body kernel, eval every step",8192,35439730,64,8,3
4,"articulated-body kernel, eval every step",16384,65574595,64,8,3
4,"articulated-body kernel, eval every step",32768,120492503,64,8,3
4,"articulated-body kernel, eval every step",65536,158994349,64,8,3
4,"articulated-body kernel, eval every 32",1,14924,64,8,3
4,"articulated-body kernel, eval every 32",2,31553,64,8,3
4,"articulated-body kernel, eval every 32",4,53744,64,8,3
4,"articulated-body kernel, eval every 32",8,94028,64,8,3
4,"articulated-body kernel, eval every 32",16,185148,64,8,3
4,"articulated-body kernel, eval every 32",32,374951,64,8,3
4,"articulated-body kernel, eval every 32",64,871497,64,8,3
4,"articulated-body kernel, eval every 32",128,1689319,64,8,3
4,"articulated-body kernel, eval every 32",256,3483641,64,8,3
4,"articulated-body kernel, eval every 32",512,6728024,64,8,3
4,"articulated-body kernel, eval every 32",1024,13677197,64,8,3
4,"articulated-body kernel, eval every 32",2048,31041018,64,8,3
4,"articulated-body kernel, eval every 32",4096,62864901,64,8,3
4,"articulated-body kernel, eval every 32",8192,107413132,64,8,3
4,"articulated-body kernel, eval every 32",16384,157474393,64,8,3
4,"articulated-body kernel, eval every 32",32768,245527412,64,8,3
