backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,2537737,2.0591551980469376,1.2372541427612305,1232416.5766655114
metal,0.1,metal,1024,1,True,365,148504061,47.35466895007994,100.18049621582031,3135996.181422979
metal,0.1,metal,1024,2,False,500,33928440,56.742290926515125,25.25334358215332,597939.1992462815
metal,0.1,metal,4096,0,False,500,10588871,2.7150263355579227,1.2974867820739746,3900098.8172087274
metal,0.1,metal,4096,1,True,320,510271776,45.66591673868243,100.48863220214844,11174018.008221915
metal,0.1,metal,4096,2,False,500,168569767,62.81405025406275,24.871667861938477,2683631.5492821936
