c,config,n,steps_per_sec,sweeps,iters,warmup,repeats
2,"metal kernel, eval every step",32,47457,8,64,8,3
2,"metal kernel, eval every step",64,89593,8,64,8,3
2,"metal kernel, eval every step",128,149297,8,64,8,3
2,"metal kernel, eval every step",256,239011,8,64,8,3
2,"metal kernel, eval every step",512,584079,8,64,8,3
2,"metal kernel, eval every step",1024,1220992,8,64,8,3
2,"metal kernel, eval every step",2048,2737918,8,64,8,3
2,"metal kernel, eval every step",4096,5533125,8,64,8,3
2,"metal kernel, eval every step",8192,20034602,8,64,8,3
2,"metal kernel, eval every step",16384,33478993,8,64,8,3
2,"metal kernel, eval every step",32768,45995219,8,64,8,3
2,"metal kernel, eval every step",65536,62579563,8,64,8,3
2,"metal kernel, eval every 32",1,2435,8,64,8,3
2,"metal kernel, eval every 32",2,8406,8,64,8,3
2,"metal kernel, eval every 32",4,18566,8,64,8,3
2,"metal kernel, eval every 32",8,38825,8,64,8,3
2,"metal kernel, eval every 32",16,76035,8,64,8,3
2,"metal kernel, eval every 32",32,184627,8,64,8,3
2,"metal kernel, eval every 32",64,370299,8,64,8,3
2,"metal kernel, eval every 32",128,463105,8,64,8,3
2,"metal kernel, eval every 32",256,1174933,8,64,8,3
2,"metal kernel, eval every 32",512,2069765,8,64,8,3
2,"metal kernel, eval every 32",1024,6011558,8,64,8,3
2,"metal kernel, eval every 32",2048,11531980,8,64,8,3
2,"metal kernel, eval every 32",4096,25270952,8,64,8,3
2,"metal kernel, eval every 32",8192,48248289,8,64,8,3
2,"metal kernel, eval every 32",16384,61819883,8,64,8,3
2,"metal kernel, eval every 32",32768,79330900,8,64,8,3
2,"metal kernel, eval every 32",65536,94601960,8,64,8,3
4,numpy,1,112,8,64,8,3
4,numpy,2,241,8,64,8,3
4,numpy,4,442,8,64,8,3
4,numpy,8,949,8,64,8,3
4,numpy,16,1556,8,64,8,3
4,numpy,32,3330,8,64,8,3
4,numpy,64,6925,8,64,8,3
4,numpy,128,10169,8,64,8,3
4,numpy,256,23977,8,64,8,3
4,numpy,512,31565,8,64,8,3
4,numpy,1024,33516,8,64,8,3
4,numpy,2048,71579,8,64,8,3
4,numpy,4096,94593,8,64,8,3
4,numpy,8192,65805,8,64,8,3
4,numpy,16384,59705,8,64,8,3
4,numpy,32768,63549,8,64,8,3
4,numpy,65536,66410,8,64,8,3
4,"mlx compiled, eval every 32",1,53,8,64,8,3
4,"mlx compiled, eval every 32",2,104,8,64,8,3
4,"mlx compiled, eval every 32",4,210,8,64,8,3
4,"mlx compiled, eval every 32",8,430,8,64,8,3
4,"mlx compiled, eval every 32",16,835,8,64,8,3
4,"mlx compiled, eval every 32",32,1671,8,64,8,3
4,"mlx compiled, eval every 32",64,3281,8,64,8,3
4,"mlx compiled, eval every 32",128,6682,8,64,8,3
4,"mlx compiled, eval every 32",256,12743,8,64,8,3
4,"mlx compiled, eval every 32",512,24695,8,64,8,3
4,"mlx compiled, eval every 32",1024,42832,8,64,8,3
4,"mlx compiled, eval every 32",2048,83897,8,64,8,3
4,"mlx compiled, eval every 32",4096,176351,8,64,8,3
4,"mlx compiled, eval every 32",8192,355558,8,64,8,3
4,"mlx compiled, eval every 32",16384,534232,8,64,8,3
4,"mlx compiled, eval every 32",32768,1231973,8,64,8,3
4,"mlx compiled, eval every 32",65536,1647529,8,64,8,3
4,"metal kernel, eval every step",1,2085,8,64,8,3
4,"metal kernel, eval every step",2,4178,8,64,8,3
4,"metal kernel, eval every step",4,8563,8,64,8,3
4,"metal kernel, eval every step",8,18459,8,64,8,3
4,"metal kernel, eval every step",16,36666,8,64,8,3
4,"metal kernel, eval every step",32,72910,8,64,8,3
4,"metal kernel, eval every step",64,145981,8,64,8,3
4,"metal kernel, eval every step",128,281548,8,64,8,3
4,"metal kernel, eval every step",256,535412,8,64,8,3
4,"metal kernel, eval every step",512,1024418,8,64,8,3
4,"metal kernel, eval every step",1024,2131492,8,64,8,3
4,"metal kernel, eval every step",2048,4091631,8,64,8,3
4,"metal kernel, eval every step",4096,8444874,8,64,8,3
4,"metal kernel, eval every step",8192,12336865,8,64,8,3
4,"metal kernel, eval every step",16384,14646195,8,64,8,3
4,"metal kernel, eval every step",32768,18408194,8,64,8,3
4,"metal kernel, eval every step",65536,21022759,8,64,8,3
4,"metal kernel, eval every 32",1,3477,8,64,8,3
4,"metal kernel, eval every 32",2,7350,8,64,8,3
4,"metal kernel, eval every 32",4,14729,8,64,8,3
4,"metal kernel, eval every 32",8,31492,8,64,8,3
4,"metal kernel, eval every 32",16,64363,8,64,8,3
4,"metal kernel, eval every 32",32,123609,8,64,8,3
4,"metal kernel, eval every 32",64,231931,8,64,8,3
4,"metal kernel, eval every 32",128,473290,8,64,8,3
4,"metal kernel, eval every 32",256,929512,8,64,8,3
4,"metal kernel, eval every 32",512,1790569,8,64,8,3
4,"metal kernel, eval every 32",1024,3555524,8,64,8,3
4,"metal kernel, eval every 32",2048,6623534,8,64,8,3
4,"metal kernel, eval every 32",4096,11994372,8,64,8,3
4,"metal kernel, eval every 32",8192,14924773,8,64,8,3
4,"metal kernel, eval every 32",16384,17904839,8,64,8,3
4,"metal kernel, eval every 32",32768,21876344,8,64,8,3
4,"metal kernel, eval every 32",65536,23727258,8,64,8,3
