backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,125141388,61.93918382457923,4.7012529373168945,2020391.2979289265
metal,0.1,metal,1024,1,False,500,242418435,64.31168811861426,91.62884521484375,3769430.4424553714
metal,0.1,metal,1024,2,True,220,100879619,31.563167956657708,101.15869903564453,3196118.309116724
metal,0.1,metal,4096,0,False,500,530022724,73.57146188430488,21.66106414794922,7204189.103017818
metal,0.1,metal,4096,1,False,500,921082565,72.06358240486588,56.746681213378906,12781526.178163001
metal,0.1,metal,4096,2,True,390,757591990,55.2233369150199,100.14178466796875,13718692.718004635
