k,config,n,steps_per_sec,iters,warmup,repeats
4,"mlx compiled, eval every step",4096,5320880,64,8,3
4,"mlx compiled, eval every step",8192,9797151,64,8,3
4,"mlx compiled, eval every step",16384,20245614,64,8,3
4,"mlx compiled, eval every step",32768,26250960,64,8,3
4,"mlx compiled, eval every step",65536,31735781,64,8,3
4,"mlx compiled, eval every 32",1,2169,64,8,3
4,"mlx compiled, eval every 32",2,4170,64,8,3
4,"mlx compiled, eval every 32",4,8465,64,8,3
4,"mlx compiled, eval every 32",8,16637,64,8,3
4,"mlx compiled, eval every 32",16,33219,64,8,3
4,"mlx compiled, eval every 32",32,64594,64,8,3
4,"mlx compiled, eval every 32",64,128949,64,8,3
4,"mlx compiled, eval every 32",128,253451,64,8,3
4,"mlx compiled, eval every 32",256,498057,64,8,3
4,"mlx compiled, eval every 32",512,1016463,64,8,3
4,"mlx compiled, eval every 32",1024,2004225,64,8,3
4,"mlx compiled, eval every 32",2048,4015466,64,8,3
4,"mlx compiled, eval every 32",4096,7973719,64,8,3
4,"mlx compiled, eval every 32",8192,15577615,64,8,3
4,"mlx compiled, eval every 32",16384,30300410,64,8,3
4,"mlx compiled, eval every 32",32768,34014420,64,8,3
4,"mlx compiled, eval every 32",65536,35855494,64,8,3
4,"metal kernel, eval every step",1,3754,64,8,3
4,"metal kernel, eval every step",2,8518,64,8,3
4,"metal kernel, eval every step",4,17161,64,8,3
4,"metal kernel, eval every step",8,33157,64,8,3
4,"metal kernel, eval every step",16,66441,64,8,3
4,"metal kernel, eval every step",32,134448,64,8,3
4,"metal kernel, eval every step",64,270782,64,8,3
4,"metal kernel, eval every step",128,548593,64,8,3
4,"metal kernel, eval every step",256,1074431,64,8,3
4,"metal kernel, eval every step",512,2084037,64,8,3
4,"metal kernel, eval every step",1024,4379309,64,8,3
4,"metal kernel, eval every step",2048,8363940,64,8,3
4,"metal kernel, eval every step",4096,17586180,64,8,3
4,"metal kernel, eval every step",8192,34487053,64,8,3
4,"metal kernel, eval every step",16384,58212180,64,8,3
4,"metal kernel, eval every step",32768,97133280,64,8,3
4,"metal kernel, eval every step",65536,151919373,64,8,3
4,"metal kernel, eval every 32",1,18429,64,8,3
4,"metal kernel, eval every 32",2,39001,64,8,3
4,"metal kernel, eval every 32",4,80360,64,8,3
4,"metal kernel, eval every 32",8,158275,64,8,3
4,"metal kernel, eval every 32",16,183992,64,8,3
4,"metal kernel, eval every 32",32,420642,64,8,3
4,"metal kernel, eval every 32",64,1057260,64,8,3
4,"metal kernel, eval every 32",128,2231013,64,8,3
4,"metal kernel, eval every 32",256,4714085,64,8,3
4,"metal kernel, eval every 32",512,9677973,64,8,3
4,"metal kernel, eval every 32",1024,18292947,64,8,3
4,"metal kernel, eval every 32",2048,27895079,64,8,3
4,"metal kernel, eval every 32",4096,73625615,64,8,3
4,"metal kernel, eval every 32",8192,130154150,64,8,3
4,"metal kernel, eval every 32",16384,181784077,64,8,3
4,"metal kernel, eval every 32",32768,232048937,64,8,3
4,"metal kernel, eval every 32",65536,283049888,64,8,3
8,numpy,1,2660,64,8,3
8,numpy,2,5171,64,8,3
8,numpy,4,10279,64,8,3
8,numpy,8,20032,64,8,3
8,numpy,16,39108,64,8,3
8,numpy,32,74856,64,8,3
8,numpy,64,138442,64,8,3
8,numpy,128,235042,64,8,3
8,numpy,256,357615,64,8,3
8,numpy,512,508989,64,8,3
8,numpy,1024,524600,64,8,3
8,numpy,2048,622538,64,8,3
8,numpy,4096,754123,64,8,3
8,numpy,8192,706068,64,8,3
8,numpy,16384,690842,64,8,3
8,numpy,32768,653592,64,8,3
8,numpy,65536,670866,64,8,3
8,"mlx compiled, eval every step",1,768,64,8,3
8,"mlx compiled, eval every step",2,1502,64,8,3
8,"mlx compiled, eval every step",4,3021,64,8,3
8,"mlx compiled, eval every step",8,6095,64,8,3
8,"mlx compiled, eval every step",16,12037,64,8,3
8,"mlx compiled, eval every step",32,23029,64,8,3
8,"mlx compiled, eval every step",64,45855,64,8,3
8,"mlx compiled, eval every step",128,90953,64,8,3
