backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,143530303,17.97351762931794,45.28639602661133,7985654.559120751
metal,0.1,metal,1024,1,True,390,94450254,13.708503329427913,105.0198974609375,6889902.692531324
metal,0.1,metal,1024,2,False,500,152028573,17.736108195153065,42.72895431518555,8571698.555692531
metal,0.1,metal,4096,0,False,500,584241467,18.077172705205157,41.4655876159668,32319294.423279643
metal,0.1,metal,4096,1,False,500,583280400,18.068906376953237,42.24519348144531,32280891.152547564
metal,0.1,metal,4096,2,False,500,601685664,18.10746855242178,43.0820426940918,33228590.857860565
