backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,256,0,False,500,63729644,17.907528785290197,500.693603515625,3558818.459214178
metal,0.1,metal,256,1,False,500,63573239,17.801061956677586,500.68695068359375,3571317.2143728323
metal,0.1,metal,256,2,False,500,63586779,17.811407121596858,500.6083984375,3570003.1202419237
metal,0.1,metal,1024,0,False,500,255055766,17.783404627931304,500.693603515625,14342347.33653867
metal,0.1,metal,1024,1,False,500,254344896,17.76379080663901,500.68695068359375,14318165.461898008
metal,0.1,metal,1024,2,False,500,254589799,17.76162832940463,500.6083984375,14333697.016873332
metal,0.1,metal,4096,0,False,500,1020744372,18.15866459161043,500.693603515625,56212524.15618706
metal,0.1,metal,4096,1,False,500,1018377170,18.14559587580152,500.68695068359375,56122553.206317164
metal,0.1,metal,4096,2,False,500,1018735137,18.1649091897998,500.6083984375,56082589.037772544
metal,0.1,metal,16384,0,False,500,4083259314,51.54976416460704,500.693603515625,79210048.3905507
metal,0.1,metal,16384,1,False,500,4073085006,51.72957354213577,500.68695068359375,78738035.65541309
metal,0.1,metal,16384,2,False,500,4075194221,52.33335524983704,500.6083984375,77869920.6566292
