backend,lr,series,n,seed,solved,generations,env_steps,train_seconds,score,steps_per_sec
metal,0.1,metal,1024,0,False,500,208004039,17.82610879384447,43.65306091308594,11668504.966817316
metal,0.1,metal,1024,1,False,500,11137892,16.319192453753203,13.774885177612305,682502.6441451415
metal,0.1,metal,1024,2,False,500,207694871,17.79574895091355,44.62823486328125,11671038.491995469
metal,0.1,metal,4096,0,False,500,831381682,18.184003832400776,43.42234802246094,45720496.413370766
metal,0.1,metal,4096,1,False,500,38666903,16.02090864162892,13.778226852416992,2413527.463699996
metal,0.1,metal,4096,2,False,500,664098663,18.079833291238174,21.652477264404297,36731459.42788281
